,run,epoch,loss,epoch_duration,run duration,learning_rate,num_epoch
0,1,1,1.1946969975826711,23.708638906478882,23.708638906478882,0.001,30
1,1,2,0.5827254780873596,23.08855962753296,46.798197746276855,0.001,30
2,1,3,0.529172854626227,23.219881772994995,70.0190794467926,0.001,30
3,1,4,0.5116184224725252,23.258636236190796,93.27871584892273,0.001,30
4,1,5,0.49322204008276166,23.187227487564087,116.46594333648682,0.001,30
5,1,6,0.4811443354678058,23.15126371383667,139.6172070503235,0.001,30
6,1,7,0.47156469336888085,23.185693979263306,162.8029010295868,0.001,30
7,1,8,0.46008462546325407,23.162873029708862,185.96577405929565,0.001,30
8,1,9,0.45205827401234555,23.193676710128784,209.15945076942444,0.001,30
9,1,10,0.44535644358468923,23.686394453048706,232.8468451499939,0.001,30
10,1,11,0.436682352592588,23.597748279571533,256.44459342956543,0.001,30
11,1,12,0.4297414145730285,23.137710571289062,279.5823040008545,0.001,30
12,1,13,0.42375414320814464,23.21151566505432,302.7938196659088,0.001,30
13,1,14,0.4189878123612539,23.206773281097412,326.0005929470062,0.001,30
14,1,15,0.41408879246547636,23.290088891983032,349.29068183898926,0.001,30
15,1,16,0.4074973441087283,23.418035745620728,372.70871758461,0.001,30
16,1,17,0.4023964338095082,23.283620595932007,395.9933383464813,0.001,30
17,1,18,0.3972762132342528,23.202397108078003,419.1957354545593,0.001,30
18,1,19,0.39663989666985117,23.181525230407715,442.3782603740692,0.001,30
19,1,20,0.3896220431998674,23.333590269088745,465.71185064315796,0.001,30
20,1,21,0.3852671352233964,23.56012725830078,489.2729778289795,0.001,30
21,1,22,0.38283075446541975,23.382736921310425,512.6567142009735,0.001,30
22,1,23,0.37829434485570623,23.10910654067993,535.7658207416534,0.001,30
23,1,24,0.3775834830907675,23.25934386253357,559.025164604187,0.001,30
24,1,25,0.3711091123732478,23.273627519607544,582.299791097641,0.001,30
25,1,26,0.3669897986327106,23.143483877182007,605.443274974823,0.001,30
26,1,27,0.36535528024681185,23.208667278289795,628.6519422531128,0.001,30
27,1,28,0.36036454346257185,23.276384353637695,651.9283266067505,0.001,30
28,1,29,0.35547871296463707,23.190438985824585,675.1197655200958,0.001,30
29,1,30,0.35809883535632236,23.260634660720825,698.3813998699188,0.001,30
